<millionaire , {input\big3.txt : 1}>
<millions , {input\big3.txt : 1}>
<moody , {input\big3.txt : 1}>
<mopping , {input\big3.txt : 1}>
<mornings , {input\big3.txt : 1}>
<motion , {input\big3.txt : 1}>
<motioned , {input\big3.txt : 1}>
<muscles , {input\big3.txt : 1}{input\big.txt : 1}>
<majority , {input\big.txt : 1}>
<malpighii , {input\big.txt : 1}>
<manifest , {input\big.txt : 2}>
<manifestation , {input\big.txt : 1}>
<manifestations , {input\big.txt : 3}>
<manifests , {input\big.txt : 1}>
<markedly , {input\big.txt : 2}>
<marrow , {input\big.txt : 1}>
<massage , {input\big.txt : 2}>
<masses , {input\big.txt : 1}>
<mastoid , {input\big.txt : 1}>
<measles , {input\big.txt : 1}>
<mechanical , {input\big.txt : 1}>
<mechanically , {input\big.txt : 1}>
<meckels , {input\big.txt : 1}>
<membranes , {input\big.txt : 1}>
<membranes; , {input\big.txt : 1}>
<merge , {input\big.txt : 2}>
<metacarpal , {input\big.txt : 1}>
<mild , {input\big.txt : 1}>
<mobility , {input\big.txt : 1}>
<moderate , {input\big.txt : 1}>
<moderately , {input\big.txt : 1}>
<morphin , {input\big.txt : 1}>
<movement , {input\big.txt : 2}>
<movements , {input\big.txt : 2}>
<mucous , {input\big.txt : 6}>
<muscle , {input\big.txt : 2}>
