<distinctly , {input\big4.txt : 1}>
<district , {input\big4.txt : 2}>
<disturb , {input\big4.txt : 2}>
<disturbed , {input\big4.txt : 1}>
<do , {input\big4.txt : 35}>
<dockyard , {input\big4.txt : 1}>
<doctor , {input\big4.txt : 3}>
<does , {input\big4.txt : 6}>
<does; , {input\big4.txt : 1}>
<dog , {input\big4.txt : 1}>
<doing , {input\big4.txt : 3}>
<done , {input\big4.txt : 8}>
<dont , {input\big4.txt : 3}>
<door , {input\big4.txt : 6}>
<double , {input\big4.txt : 1}>
<doubt , {input\big4.txt : 5}>
<down , {input\big4.txt : 29}>
<downward , {input\big4.txt : 2}>
<dozen , {input\big4.txt : 3}>
<dr , {input\big4.txt : 1}>
<drank , {input\big4.txt : 2}>
<draughts , {input\big4.txt : 1}>
<draw , {input\big4.txt : 1}>
<drawn , {input\big4.txt : 6}>
<dread , {input\big4.txt : 1}>
<dress , {input\big4.txt : 1}>
<drew , {input\big4.txt : 2}>
<dried , {input\big4.txt : 4}>
<drink , {input\big4.txt : 1}>
<drive , {input\big4.txt : 1}>
<driven , {input\big4.txt : 2}>
<driver , {input\big4.txt : 1}>
<drooping , {input\big4.txt : 1}>
<drop , {input\big4.txt : 1}>
<dropped , {input\big4.txt : 3}>
<drove , {input\big4.txt : 4}>
<drunken , {input\big4.txt : 2}>
<dry , {input\big4.txt : 1}>
<dundee , {input\big4.txt : 1}>
<during , {input\big4.txt : 4}>
<dust , {input\big4.txt : 1}>
<dustcoat , {input\big4.txt : 1}>
<duty , {input\big4.txt : 1}>
<dweller , {input\big4.txt : 1}>
<dwelling , {input\big4.txt : 1}>
<dying , {input\big4.txt : 7}>
<each , {input\big4.txt : 2}>
<eager , {input\big4.txt : 1}>
<ear , {input\big4.txt : 1}>
<early , {input\big4.txt : 1}>
<earned , {input\big4.txt : 1}>
<ears , {input\big4.txt : 1}>
<earshot , {input\big4.txt : 1}>
<earth , {input\big4.txt : 2}>
<ease , {input\big4.txt : 1}>
<easier , {input\big4.txt : 1}>
<easily , {input\big4.txt : 1}>
<easy , {input\big4.txt : 2}>
<eccentricity , {input\big4.txt : 1}>
<edge , {input\big4.txt : 3}>
<edged , {input\big4.txt : 1}>
<effect , {input\big4.txt : 1}>
<eight , {input\big4.txt : 4}>
<either , {input\big4.txt : 2}>
<elapsed , {input\big4.txt : 1}>
<elbow , {input\big4.txt : 1}>
<elderly , {input\big4.txt : 1}>
<elemental , {input\big4.txt : 1}>
